Group,Subgroup,Time_Period,Value,Risk
By Age,18 - 29 years,2020-04-23,32.7,Moderate
By Age,30 - 39 years,2020-04-23,25.7,Mild
By Age,40 - 49 years,2020-04-23,24.8,Mild
By Age,50 - 59 years,2020-04-23,23.2,Mild
By Age,60 - 69 years,2020-04-23,18.4,Mild
By Age,70 - 79 years,2020-04-23,13.6,Mild
By Age,80 years and above,2020-04-23,14.4,Mild
By Sex,Male,2020-04-23,20.8,Mild
By Sex,Female,2020-04-23,26.1,Mild
By Race/Hispanic ethnicity,Hispanic or Latino,2020-04-23,29.4,Mild
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-04-23,21.4,Mild
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-04-23,25.6,Mild
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-04-23,23.6,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-04-23,28.3,Mild
By Education,Less than a high school diploma,2020-04-23,32.7,Moderate
By Education,High school diploma or GED,2020-04-23,25.4,Mild
By Education,Some college/Associate's degree,2020-04-23,25.6,Mild
By Education,Bachelor's degree or higher,2020-04-23,17.6,Mild
By State,Alabama,2020-04-23,18.6,Mild
By State,Alaska,2020-04-23,19.2,Mild
By State,Arizona,2020-04-23,22.4,Mild
By State,Arkansas,2020-04-23,26.6,Mild
By State,California,2020-04-23,25.4,Mild
By State,Colorado,2020-04-23,22.0,Mild
By State,Connecticut,2020-04-23,24.4,Mild
By State,Delaware,2020-04-23,21.1,Mild
By State,District of Columbia,2020-04-23,26.4,Mild
By State,Florida,2020-04-23,22.5,Mild
By State,Georgia,2020-04-23,25.6,Mild
By State,Hawaii,2020-04-23,20.0,Mild
By State,Idaho,2020-04-23,20.6,Mild
By State,Illinois,2020-04-23,23.3,Mild
By State,Indiana,2020-04-23,26.4,Mild
By State,Iowa,2020-04-23,16.5,Mild
By State,Kansas,2020-04-23,22.1,Mild
By State,Kentucky,2020-04-23,23.2,Mild
By State,Louisiana,2020-04-23,28.1,Mild
By State,Maine,2020-04-23,19.5,Mild
By State,Maryland,2020-04-23,20.9,Mild
By State,Massachusetts,2020-04-23,25.9,Mild
By State,Michigan,2020-04-23,25.5,Mild
By State,Minnesota,2020-04-23,20.4,Mild
By State,Mississippi,2020-04-23,22.9,Mild
By State,Missouri,2020-04-23,21.0,Mild
By State,Montana,2020-04-23,18.2,Mild
By State,Nebraska,2020-04-23,19.1,Mild
By State,Nevada,2020-04-23,23.6,Mild
By State,New Hampshire,2020-04-23,19.5,Mild
By State,New Jersey,2020-04-23,23.6,Mild
By State,New Mexico,2020-04-23,22.4,Mild
By State,New York,2020-04-23,28.7,Mild
By State,North Carolina,2020-04-23,21.1,Mild
By State,North Dakota,2020-04-23,17.0,Mild
By State,Ohio,2020-04-23,21.2,Mild
By State,Oklahoma,2020-04-23,20.8,Mild
By State,Oregon,2020-04-23,22.5,Mild
By State,Pennsylvania,2020-04-23,24.7,Mild
By State,Rhode Island,2020-04-23,24.5,Mild
By State,South Carolina,2020-04-23,21.6,Mild
By State,South Dakota,2020-04-23,17.5,Mild
By State,Tennessee,2020-04-23,22.2,Mild
By State,Texas,2020-04-23,24.4,Mild
By State,Utah,2020-04-23,22.9,Mild
By State,Vermont,2020-04-23,20.7,Mild
By State,Virginia,2020-04-23,21.5,Mild
By State,Washington,2020-04-23,22.1,Mild
By State,West Virginia,2020-04-23,23.4,Mild
By State,Wisconsin,2020-04-23,22.0,Mild
By State,Wyoming,2020-04-23,18.9,Mild
By Age,18 - 29 years,2020-05-07,36.2,High
By Age,30 - 39 years,2020-05-07,27.7,Mild
By Age,40 - 49 years,2020-05-07,25.5,Mild
By Age,50 - 59 years,2020-05-07,24.1,Mild
By Age,60 - 69 years,2020-05-07,17.6,Mild
By Age,70 - 79 years,2020-05-07,12.2,Mild
By Age,80 years and above,2020-05-07,9.1,Mild
By Sex,Male,2020-05-07,22.3,Mild
By Sex,Female,2020-05-07,25.8,Mild
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-07,27.9,Mild
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-07,22.5,Mild
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-07,27.7,Mild
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-07,19.5,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-07,33.0,Moderate
By Education,Less than a high school diploma,2020-05-07,31.4,Moderate
By Education,High school diploma or GED,2020-05-07,27.1,Mild
By Education,Some college/Associate's degree,2020-05-07,26.5,Mild
By Education,Bachelor's degree or higher,2020-05-07,17.2,Mild
By State,Alabama,2020-05-07,22.5,Mild
By State,Alaska,2020-05-07,25.1,Mild
By State,Arizona,2020-05-07,25.3,Mild
By State,Arkansas,2020-05-07,24.5,Mild
By State,California,2020-05-07,22.8,Mild
By State,Colorado,2020-05-07,23.6,Mild
By State,Connecticut,2020-05-07,21.5,Mild
By State,Delaware,2020-05-07,23.3,Mild
By State,District of Columbia,2020-05-07,30.3,Moderate
By State,Florida,2020-05-07,24.8,Mild
By State,Georgia,2020-05-07,25.6,Mild
By State,Hawaii,2020-05-07,16.8,Mild
By State,Idaho,2020-05-07,17.0,Mild
By State,Illinois,2020-05-07,29.2,Mild
By State,Indiana,2020-05-07,19.9,Mild
By State,Iowa,2020-05-07,18.1,Mild
By State,Kansas,2020-05-07,16.7,Mild
By State,Kentucky,2020-05-07,25.6,Mild
By State,Louisiana,2020-05-07,30.0,Mild
By State,Maine,2020-05-07,17.1,Mild
By State,Maryland,2020-05-07,24.6,Mild
By State,Massachusetts,2020-05-07,18.9,Mild
By State,Michigan,2020-05-07,23.4,Mild
By State,Minnesota,2020-05-07,18.4,Mild
By State,Mississippi,2020-05-07,35.5,High
By State,Missouri,2020-05-07,24.1,Mild
By State,Montana,2020-05-07,20.8,Mild
By State,Nebraska,2020-05-07,21.6,Mild
By State,Nevada,2020-05-07,31.2,Moderate
By State,New Hampshire,2020-05-07,23.3,Mild
By State,New Jersey,2020-05-07,26.4,Mild
By State,New Mexico,2020-05-07,29.0,Mild
By State,New York,2020-05-07,29.2,Mild
By State,North Carolina,2020-05-07,20.2,Mild
By State,North Dakota,2020-05-07,20.2,Mild
By State,Ohio,2020-05-07,26.4,Mild
By State,Oklahoma,2020-05-07,20.7,Mild
By State,Oregon,2020-05-07,17.8,Mild
By State,Pennsylvania,2020-05-07,23.0,Mild
By State,Rhode Island,2020-05-07,22.8,Mild
By State,South Carolina,2020-05-07,25.6,Mild
By State,South Dakota,2020-05-07,20.5,Mild
By State,Tennessee,2020-05-07,21.7,Mild
By State,Texas,2020-05-07,25.7,Mild
By State,Utah,2020-05-07,22.6,Mild
By State,Vermont,2020-05-07,26.8,Mild
By State,Virginia,2020-05-07,20.6,Mild
By State,Washington,2020-05-07,22.9,Mild
By State,West Virginia,2020-05-07,31.8,Moderate
By State,Wisconsin,2020-05-07,22.9,Mild
By State,Wyoming,2020-05-07,18.6,Mild
By Age,18 - 29 years,2020-05-14,36.7,High
By Age,30 - 39 years,2020-05-14,26.7,Mild
By Age,40 - 49 years,2020-05-14,25.0,Mild
By Age,50 - 59 years,2020-05-14,24.6,Mild
By Age,60 - 69 years,2020-05-14,18.0,Mild
By Age,70 - 79 years,2020-05-14,12.3,Mild
By Age,80 years and above,2020-05-14,14.4,Mild
By Sex,Male,2020-05-14,22.1,Mild
By Sex,Female,2020-05-14,26.7,Mild
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-14,28.9,Mild
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-14,22.7,Mild
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-14,28.5,Mild
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-14,20.9,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-14,27.1,Mild
By Education,Less than a high school diploma,2020-05-14,31.3,Moderate
By Education,High school diploma or GED,2020-05-14,27.8,Mild
By Education,Some college/Associate's degree,2020-05-14,26.8,Mild
By Education,Bachelor's degree or higher,2020-05-14,17.3,Mild
By State,Alabama,2020-05-14,19.6,Mild
By State,Alaska,2020-05-14,23.6,Mild
By State,Arizona,2020-05-14,20.0,Mild
By State,Arkansas,2020-05-14,28.9,Mild
By State,California,2020-05-14,28.7,Mild
By State,Colorado,2020-05-14,23.7,Mild
By State,Connecticut,2020-05-14,20.2,Mild
By State,Delaware,2020-05-14,21.8,Mild
By State,District of Columbia,2020-05-14,25.9,Mild
By State,Florida,2020-05-14,24.3,Mild
By State,Georgia,2020-05-14,24.8,Mild
By State,Hawaii,2020-05-14,21.3,Mild
By State,Idaho,2020-05-14,18.1,Mild
By State,Illinois,2020-05-14,24.3,Mild
By State,Indiana,2020-05-14,24.5,Mild
By State,Iowa,2020-05-14,18.6,Mild
By State,Kansas,2020-05-14,21.2,Mild
By State,Kentucky,2020-05-14,22.8,Mild
By State,Louisiana,2020-05-14,26.5,Mild
By State,Maine,2020-05-14,25.6,Mild
By State,Maryland,2020-05-14,20.8,Mild
By State,Massachusetts,2020-05-14,22.8,Mild
By State,Michigan,2020-05-14,27.9,Mild
By State,Minnesota,2020-05-14,20.0,Mild
By State,Mississippi,2020-05-14,36.4,High
By State,Missouri,2020-05-14,24.3,Mild
By State,Montana,2020-05-14,21.1,Mild
By State,Nebraska,2020-05-14,20.4,Mild
By State,Nevada,2020-05-14,26.9,Mild
By State,New Hampshire,2020-05-14,20.3,Mild
By State,New Jersey,2020-05-14,26.9,Mild
By State,New Mexico,2020-05-14,28.4,Mild
By State,New York,2020-05-14,23.8,Mild
By State,North Carolina,2020-05-14,22.6,Mild
By State,North Dakota,2020-05-14,22.5,Mild
By State,Ohio,2020-05-14,27.0,Mild
By State,Oklahoma,2020-05-14,25.7,Mild
By State,Oregon,2020-05-14,22.7,Mild
By State,Pennsylvania,2020-05-14,19.8,Mild
By State,Rhode Island,2020-05-14,18.8,Mild
By State,South Carolina,2020-05-14,25.3,Mild
By State,South Dakota,2020-05-14,22.7,Mild
By State,Tennessee,2020-05-14,25.6,Mild
By State,Texas,2020-05-14,24.9,Mild
By State,Utah,2020-05-14,21.2,Mild
By State,Vermont,2020-05-14,19.0,Mild
By State,Virginia,2020-05-14,25.4,Mild
By State,Washington,2020-05-14,23.2,Mild
By State,West Virginia,2020-05-14,27.0,Mild
By State,Wisconsin,2020-05-14,20.3,Mild
By State,Wyoming,2020-05-14,20.7,Mild
By Age,18 - 29 years,2020-05-21,36.7,High
By Age,30 - 39 years,2020-05-21,27.4,Mild
By Age,40 - 49 years,2020-05-21,24.2,Mild
By Age,50 - 59 years,2020-05-21,24.6,Mild
By Age,60 - 69 years,2020-05-21,19.8,Mild
By Age,70 - 79 years,2020-05-21,13.3,Mild
By Age,80 years and above,2020-05-21,17.1,Mild
By Sex,Male,2020-05-21,22.7,Mild
By Sex,Female,2020-05-21,26.9,Mild
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-21,31.4,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-21,23.3,Mild
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-21,24.8,Mild
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-21,19.5,Mild
