Group_name,Subgroup,Time_Period,Risk
National Estimate,United States,2020-04-23,Mild
By Age,18 - 29 years,2020-04-23,High
By Age,30 - 39 years,2020-04-23,Moderate
By Age,40 - 49 years,2020-04-23,Moderate
By Age,50 - 59 years,2020-04-23,Mild
By Age,60 - 69 years,2020-04-23,Mild
By Age,70 - 79 years,2020-04-23,Mild
By Age,80 years and above,2020-04-23,Mild
By Sex,Male,2020-04-23,Mild
By Sex,Female,2020-04-23,Moderate
By Race/Hispanic ethnicity,Hispanic or Latino,2020-04-23,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-04-23,Mild
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-04-23,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-04-23,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-04-23,Moderate
By Education,Less than a high school diploma,2020-04-23,High
By Education,High school diploma or GED,2020-04-23,Moderate
By Education,Some college/Associate's degree,2020-04-23,Moderate
By Education,Bachelor's degree or higher,2020-04-23,Mild
By State,Alabama,2020-04-23,Mild
By State,Alaska,2020-04-23,Mild
By State,Arizona,2020-04-23,Mild
By State,Arkansas,2020-04-23,Moderate
By State,California,2020-04-23,Moderate
By State,Colorado,2020-04-23,Mild
By State,Connecticut,2020-04-23,Mild
By State,Delaware,2020-04-23,Mild
By State,District of Columbia,2020-04-23,Moderate
By State,Florida,2020-04-23,Mild
By State,Georgia,2020-04-23,Moderate
By State,Hawaii,2020-04-23,Mild
By State,Idaho,2020-04-23,Mild
By State,Illinois,2020-04-23,Mild
By State,Indiana,2020-04-23,Moderate
By State,Iowa,2020-04-23,Mild
By State,Kansas,2020-04-23,Mild
By State,Kentucky,2020-04-23,Mild
By State,Louisiana,2020-04-23,Moderate
By State,Maine,2020-04-23,Mild
By State,Maryland,2020-04-23,Mild
By State,Massachusetts,2020-04-23,Moderate
By State,Michigan,2020-04-23,Moderate
By State,Minnesota,2020-04-23,Mild
By State,Mississippi,2020-04-23,Mild
By State,Missouri,2020-04-23,Mild
By State,Montana,2020-04-23,Mild
By State,Nebraska,2020-04-23,Mild
By State,Nevada,2020-04-23,Mild
By State,New Hampshire,2020-04-23,Mild
By State,New Jersey,2020-04-23,Mild
By State,New Mexico,2020-04-23,Mild
By State,New York,2020-04-23,Moderate
By State,North Carolina,2020-04-23,Mild
By State,North Dakota,2020-04-23,Mild
By State,Ohio,2020-04-23,Mild
By State,Oklahoma,2020-04-23,Mild
By State,Oregon,2020-04-23,Mild
By State,Pennsylvania,2020-04-23,Mild
By State,Rhode Island,2020-04-23,Mild
By State,South Carolina,2020-04-23,Mild
By State,South Dakota,2020-04-23,Mild
By State,Tennessee,2020-04-23,Mild
By State,Texas,2020-04-23,Mild
By State,Utah,2020-04-23,Mild
By State,Vermont,2020-04-23,Mild
By State,Virginia,2020-04-23,Mild
By State,Washington,2020-04-23,Mild
By State,West Virginia,2020-04-23,Mild
By State,Wisconsin,2020-04-23,Mild
By State,Wyoming,2020-04-23,Mild
National Estimate,United States,2020-05-07,Mild
By Age,18 - 29 years,2020-05-07,Extreme
By Age,30 - 39 years,2020-05-07,Moderate
By Age,40 - 49 years,2020-05-07,Moderate
By Age,50 - 59 years,2020-05-07,Mild
By Age,60 - 69 years,2020-05-07,Mild
By Age,70 - 79 years,2020-05-07,Mild
By Age,80 years and above,2020-05-07,Mild
By Sex,Male,2020-05-07,Mild
By Sex,Female,2020-05-07,Moderate
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-07,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-07,Mild
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-07,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-07,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-07,High
By Education,Less than a high school diploma,2020-05-07,High
By Education,High school diploma or GED,2020-05-07,Moderate
By Education,Some college/Associate's degree,2020-05-07,Moderate
By Education,Bachelor's degree or higher,2020-05-07,Mild
By State,Alabama,2020-05-07,Mild
By State,Alaska,2020-05-07,Moderate
By State,Arizona,2020-05-07,Moderate
By State,Arkansas,2020-05-07,Mild
By State,California,2020-05-07,Mild
By State,Colorado,2020-05-07,Mild
By State,Connecticut,2020-05-07,Mild
By State,Delaware,2020-05-07,Mild
By State,District of Columbia,2020-05-07,High
By State,Florida,2020-05-07,Moderate
By State,Georgia,2020-05-07,Moderate
By State,Hawaii,2020-05-07,Mild
By State,Idaho,2020-05-07,Mild
By State,Illinois,2020-05-07,Moderate
By State,Indiana,2020-05-07,Mild
By State,Iowa,2020-05-07,Mild
By State,Kansas,2020-05-07,Mild
By State,Kentucky,2020-05-07,Moderate
By State,Louisiana,2020-05-07,High
By State,Maine,2020-05-07,Mild
By State,Maryland,2020-05-07,Mild
By State,Massachusetts,2020-05-07,Mild
