Group,Subgroup,Time_Period,Value,Risk
By Age,18 - 29 years,2020-04-23,46.8,Extreme
By Age,30 - 39 years,2020-04-23,39.6,High
By Age,40 - 49 years,2020-04-23,38.9,High
By Age,50 - 59 years,2020-04-23,35.8,High
By Age,60 - 69 years,2020-04-23,28.9,Mild
By Age,70 - 79 years,2020-04-23,21.5,Mild
By Age,80 years and above,2020-04-23,21.1,Mild
By Sex,Male,2020-04-23,31.0,Moderate
By Sex,Female,2020-04-23,40.7,Extreme
By Race/Hispanic ethnicity,Hispanic or Latino,2020-04-23,42.7,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-04-23,33.6,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-04-23,38.9,High
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-04-23,31.9,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-04-23,43.9,Extreme
By Education,Less than a high school diploma,2020-04-23,45.4,Extreme
By Education,High school diploma or GED,2020-04-23,36.7,High
By Education,Some college/Associate's degree,2020-04-23,38.5,High
By Education,Bachelor's degree or higher,2020-04-23,30.7,Moderate
By State,Alabama,2020-04-23,30.3,Moderate
By State,Alaska,2020-04-23,31.5,Moderate
By State,Arizona,2020-04-23,36.4,High
By State,Arkansas,2020-04-23,38.0,High
By State,California,2020-04-23,37.4,High
By State,Colorado,2020-04-23,35.9,High
By State,Connecticut,2020-04-23,40.2,Extreme
By State,Delaware,2020-04-23,34.7,Moderate
By State,District of Columbia,2020-04-23,37.6,High
By State,Florida,2020-04-23,36.8,High
By State,Georgia,2020-04-23,36.2,High
By State,Hawaii,2020-04-23,37.0,High
By State,Idaho,2020-04-23,33.3,Moderate
By State,Illinois,2020-04-23,36.6,High
By State,Indiana,2020-04-23,37.8,High
By State,Iowa,2020-04-23,28.2,Mild
By State,Kansas,2020-04-23,32.5,Moderate
By State,Kentucky,2020-04-23,36.4,High
By State,Louisiana,2020-04-23,38.9,High
By State,Maine,2020-04-23,34.3,Moderate
By State,Maryland,2020-04-23,32.9,Moderate
By State,Massachusetts,2020-04-23,40.6,Extreme
By State,Michigan,2020-04-23,39.4,High
By State,Minnesota,2020-04-23,32.4,Moderate
By State,Mississippi,2020-04-23,34.5,Moderate
By State,Missouri,2020-04-23,35.2,High
By State,Montana,2020-04-23,27.3,Mild
By State,Nebraska,2020-04-23,28.6,Mild
By State,Nevada,2020-04-23,34.8,Moderate
By State,New Hampshire,2020-04-23,34.8,Moderate
By State,New Jersey,2020-04-23,37.6,High
By State,New Mexico,2020-04-23,34.6,Moderate
By State,New York,2020-04-23,41.4,Extreme
By State,North Carolina,2020-04-23,34.6,Moderate
By State,North Dakota,2020-04-23,27.7,Mild
By State,Ohio,2020-04-23,35.1,High
By State,Oklahoma,2020-04-23,34.1,Moderate
By State,Oregon,2020-04-23,36.8,High
By State,Pennsylvania,2020-04-23,35.1,High
By State,Rhode Island,2020-04-23,34.4,Moderate
By State,South Carolina,2020-04-23,33.3,Moderate
By State,South Dakota,2020-04-23,25.6,Mild
By State,Tennessee,2020-04-23,33.4,Moderate
By State,Texas,2020-04-23,34.9,Moderate
By State,Utah,2020-04-23,34.7,Moderate
By State,Vermont,2020-04-23,33.9,Moderate
By State,Virginia,2020-04-23,33.7,Moderate
By State,Washington,2020-04-23,35.0,Moderate
By State,West Virginia,2020-04-23,34.3,Moderate
By State,Wisconsin,2020-04-23,31.1,Moderate
By State,Wyoming,2020-04-23,31.0,Moderate
By Age,18 - 29 years,2020-05-07,47.4,Extreme
By Age,30 - 39 years,2020-05-07,39.3,High
By Age,40 - 49 years,2020-05-07,36.9,High
By Age,50 - 59 years,2020-05-07,35.5,High
By Age,60 - 69 years,2020-05-07,25.5,Mild
By Age,70 - 79 years,2020-05-07,19.8,Mild
By Age,80 years and above,2020-05-07,13.9,Mild
By Sex,Male,2020-05-07,31.4,Moderate
By Sex,Female,2020-05-07,37.2,High
By Race/Hispanic ethnicity,Hispanic or Latino,2020-05-07,40.3,Extreme
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-05-07,32.0,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-05-07,38.8,High
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-05-07,29.9,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-05-07,45.9,Extreme
By Education,Less than a high school diploma,2020-05-07,42.5,Extreme
By Education,High school diploma or GED,2020-05-07,37.8,High
By Education,Some college/Associate's degree,2020-05-07,36.2,High
By Education,Bachelor's degree or higher,2020-05-07,27.5,Mild
By State,Alabama,2020-05-07,30.6,Moderate
By State,Alaska,2020-05-07,35.7,High
By State,Arizona,2020-05-07,38.4,High
By State,Arkansas,2020-05-07,33.0,Moderate
By State,California,2020-05-07,34.4,Moderate
By State,Colorado,2020-05-07,32.2,Moderate
By State,Connecticut,2020-05-07,36.0,High
By State,Delaware,2020-05-07,31.6,Moderate
By State,District of Columbia,2020-05-07,40.6,Extreme
By State,Florida,2020-05-07,33.6,Moderate
By State,Georgia,2020-05-07,34.3,Moderate
By State,Hawaii,2020-05-07,27.1,Mild
By State,Idaho,2020-05-07,29.2,Mild
By State,Illinois,2020-05-07,41.8,Extreme
By State,Indiana,2020-05-07,34.9,Moderate
By State,Iowa,2020-05-07,26.1,Mild
By State,Kansas,2020-05-07,28.0,Mild
By State,Kentucky,2020-05-07,37.7,High
By State,Louisiana,2020-05-07,42.8,Extreme
By State,Maine,2020-05-07,32.9,Moderate
By State,Maryland,2020-05-07,34.6,Moderate
By State,Massachusetts,2020-05-07,31.0,Moderate
By State,Michigan,2020-05-07,33.4,Moderate
By State,Minnesota,2020-05-07,27.2,Mild
By State,Mississippi,2020-05-07,48.4,Extreme
By State,Missouri,2020-05-07,41.3,Extreme
By State,Montana,2020-05-07,27.6,Mild
By State,Nebraska,2020-05-07,33.4,Moderate
By State,Nevada,2020-05-07,38.1,High
By State,New Hampshire,2020-05-07,35.0,Moderate
By State,New Jersey,2020-05-07,39.6,High
By State,New Mexico,2020-05-07,39.8,High
By State,New York,2020-05-07,36.9,High
By State,North Carolina,2020-05-07,28.1,Mild
By State,North Dakota,2020-05-07,28.6,Mild
By State,Ohio,2020-05-07,32.8,Moderate
By State,Oklahoma,2020-05-07,31.0,Moderate
By State,Oregon,2020-05-07,29.9,Mild
By State,Pennsylvania,2020-05-07,32.0,Moderate
By State,Rhode Island,2020-05-07,33.8,Moderate
By State,South Carolina,2020-05-07,33.1,Moderate
By State,South Dakota,2020-05-07,29.8,Mild
By State,Tennessee,2020-05-07,34.7,Moderate
By State,Texas,2020-05-07,35.9,High
By State,Utah,2020-05-07,30.4,Moderate
By State,Vermont,2020-05-07,35.7,High
By State,Virginia,2020-05-07,30.6,Moderate
By State,Washington,2020-05-07,35.0,Moderate
By State,West Virginia,2020-05-07,39.0,High
