Group,Subgroup,Time_Period,Value,Risk
By Age,18 - 29 years,2021-01-06,46.3,Extreme
By Age,30 - 39 years,2021-01-06,40.0,High
By Age,40 - 49 years,2021-01-06,40.0,High
By Age,50 - 59 years,2021-01-06,36.0,High
By Age,60 - 69 years,2021-01-06,29.6,Mild
By Age,70 - 79 years,2021-01-06,22.3,Mild
By Age,80 years and above,2021-01-06,20.3,Mild
By Sex,Male,2021-01-06,30.7,Moderate
By Sex,Female,2021-01-06,40.5,Extreme
By Race/Hispanic ethnicity,Hispanic or Latino,2021-01-06,37.6,High
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-01-06,35.8,High
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-01-06,34.8,Moderate
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-01-06,28.1,Mild
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-01-06,41.2,Extreme
By Education,Less than a high school diploma,2021-01-06,42.9,Extreme
By Education,High school diploma or GED,2021-01-06,34.7,Moderate
By Education,Some college/Associate's degree,2021-01-06,38.8,High
By Education,Bachelor's degree or higher,2021-01-06,32.3,Moderate
By State,Alabama,2021-01-06,36.8,High
By State,Alaska,2021-01-06,36.2,High
By State,Arizona,2021-01-06,33.5,Moderate
By State,Arkansas,2021-01-06,37.6,High
By State,California,2021-01-06,39.9,High
By State,Colorado,2021-01-06,36.6,High
By State,Connecticut,2021-01-06,35.3,High
By State,Delaware,2021-01-06,34.7,Moderate
By State,District of Columbia,2021-01-06,34.4,Moderate
By State,Florida,2021-01-06,33.7,Moderate
By State,Georgia,2021-01-06,37.3,High
By State,Hawaii,2021-01-06,34.4,Moderate
By State,Idaho,2021-01-06,34.0,Moderate
By State,Illinois,2021-01-06,35.6,High
By State,Indiana,2021-01-06,32.8,Moderate
By State,Iowa,2021-01-06,31.1,Moderate
By State,Kansas,2021-01-06,33.9,Moderate
By State,Kentucky,2021-01-06,35.8,High
By State,Louisiana,2021-01-06,38.4,High
By State,Maine,2021-01-06,34.8,Moderate
By State,Maryland,2021-01-06,32.9,Moderate
By State,Massachusetts,2021-01-06,34.9,Moderate
