Mental_indicator,Group_name,Subgroup,Time_Period,Percentage,Risk
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-01-06,29.6,Moderate
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-01-06,27.4,Moderate
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-01-06,31.2,High
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-01-06,23.6,Mild
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-01-06,37.2,Extreme
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-01-06,37.6,Extreme
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-01-06,35.8,Extreme
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-01-06,34.8,High
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-01-06,28.1,Moderate
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-01-06,41.2,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-01-06,42.1,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-01-06,40.6,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-01-06,42.2,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-01-06,34.0,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-01-06,50.7,Extreme
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-01-20,32.1,High
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-01-20,26.9,Moderate
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-01-20,31.0,High
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-01-20,26.2,Moderate
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-01-20,34.5,High
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-01-20,41.5,Extreme
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-01-20,34.9,High
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-01-20,38.0,Extreme
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-01-20,30.1,High
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-01-20,36.6,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-01-20,47.1,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-01-20,39.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-01-20,44.5,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-01-20,37.4,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-01-20,44.8,Extreme
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-02-03,32.7,High
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-02-03,26.2,Moderate
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-02-03,31.1,High
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-02-03,26.9,Moderate
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-02-03,33.2,High
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-02-03,37.0,Extreme
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-02-03,32.7,High
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-02-03,35.2,Extreme
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-02-03,29.7,Moderate
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-02-03,39.2,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-02-03,43.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-02-03,37.7,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-02-03,41.9,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-02-03,36.2,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-02-03,44.1,Extreme
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-02-17,29.5,Moderate
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-02-17,26.6,Moderate
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-02-17,31.3,High
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-02-17,25.2,Moderate
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-02-17,35.0,High
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-02-17,36.9,Extreme
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-02-17,32.1,High
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-02-17,35.5,Extreme
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-02-17,27.6,Moderate
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-02-17,42.8,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-02-17,42.9,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,White,2021-02-17,37.4,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-02-17,41.5,Extreme
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-02-17,33.8,High
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-02-17,48.6,Extreme
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-03-03,28.2,Moderate
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,White,2021-03-03,25.3,Moderate
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Black,2021-03-03,28.7,Moderate
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Asian,2021-03-03,21.7,Mild
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,Other/Multiple races,2021-03-03,35.8,Extreme
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Hispanic/Latino,2021-03-03,33.9,High
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,White,2021-03-03,30.8,High
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Black,2021-03-03,31.4,High
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,Asian,2021-03-03,23.0,Mild
