,Group,Subgroup,Time_Period,Risk
70,National Estimate,United States,2020-04-23,High
71,By Age,18 - 29 years,2020-04-23,Extreme
72,By Age,30 - 39 years,2020-04-23,High
73,By Age,40 - 49 years,2020-04-23,High
74,By Age,50 - 59 years,2020-04-23,High
75,By Age,60 - 69 years,2020-04-23,Moderate
76,By Age,70 - 79 years,2020-04-23,Mild
77,By Age,80 years and above,2020-04-23,Mild
78,By Sex,Male,2020-04-23,Moderate
79,By Sex,Female,2020-04-23,Extreme
80,By Race/Hispanic ethnicity,Hispanic or Latino,2020-04-23,Extreme
81,By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-04-23,Moderate
82,By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-04-23,High
83,By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-04-23,Moderate
84,By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-04-23,Extreme
85,By Education,Less than a high school diploma,2020-04-23,Extreme
86,By Education,High school diploma or GED,2020-04-23,High
87,By Education,Some college/Associate's degree,2020-04-23,High
88,By Education,Bachelor's degree or higher,2020-04-23,Moderate
89,By State,Alabama,2020-04-23,Moderate
90,By State,Alaska,2020-04-23,Moderate
91,By State,Arizona,2020-04-23,High
92,By State,Arkansas,2020-04-23,High
93,By State,California,2020-04-23,High
94,By State,Colorado,2020-04-23,High
95,By State,Connecticut,2020-04-23,High
96,By State,Delaware,2020-04-23,High
97,By State,District of Columbia,2020-04-23,High
98,By State,Florida,2020-04-23,High
99,By State,Georgia,2020-04-23,High
100,By State,Hawaii,2020-04-23,High
101,By State,Idaho,2020-04-23,Moderate
102,By State,Illinois,2020-04-23,High
103,By State,Indiana,2020-04-23,High
104,By State,Iowa,2020-04-23,Mild
105,By State,Kansas,2020-04-23,Moderate
106,By State,Kentucky,2020-04-23,High
107,By State,Louisiana,2020-04-23,High
108,By State,Maine,2020-04-23,Moderate
109,By State,Maryland,2020-04-23,Moderate
110,By State,Massachusetts,2020-04-23,Extreme
111,By State,Michigan,2020-04-23,High
112,By State,Minnesota,2020-04-23,Moderate
113,By State,Mississippi,2020-04-23,High
114,By State,Missouri,2020-04-23,High
115,By State,Montana,2020-04-23,Mild
116,By State,Nebraska,2020-04-23,Mild
117,By State,Nevada,2020-04-23,High
118,By State,New Hampshire,2020-04-23,High
119,By State,New Jersey,2020-04-23,High
120,By State,New Mexico,2020-04-23,Moderate
121,By State,New York,2020-04-23,Extreme
122,By State,North Carolina,2020-04-23,High
123,By State,North Dakota,2020-04-23,Mild
124,By State,Ohio,2020-04-23,High
125,By State,Oklahoma,2020-04-23,Moderate
126,By State,Oregon,2020-04-23,High
127,By State,Pennsylvania,2020-04-23,High
128,By State,Rhode Island,2020-04-23,Moderate
129,By State,South Carolina,2020-04-23,Moderate
130,By State,South Dakota,2020-04-23,Mild
131,By State,Tennessee,2020-04-23,Moderate
132,By State,Texas,2020-04-23,Moderate
133,By State,Utah,2020-04-23,Moderate
134,By State,Vermont,2020-04-23,High
135,By State,Virginia,2020-04-23,Moderate
136,By State,Washington,2020-04-23,High
137,By State,West Virginia,2020-04-23,Moderate
138,By State,Wisconsin,2020-04-23,Moderate
139,By State,Wyoming,2020-04-23,Moderate
280,National Estimate,United States,2020-05-07,High
281,By Age,18 - 29 years,2020-05-07,Extreme
282,By Age,30 - 39 years,2020-05-07,High
283,By Age,40 - 49 years,2020-05-07,High
284,By Age,50 - 59 years,2020-05-07,High
285,By Age,60 - 69 years,2020-05-07,Mild
286,By Age,70 - 79 years,2020-05-07,Mild
287,By Age,80 years and above,2020-05-07,Mild
288,By Sex,Male,2020-05-07,Moderate
289,By Sex,Female,2020-05-07,High
